Latitude        Longitude          County
42.2711         -89.0940        Winnebago      
42.2810         -87.9500        Lake           
42.3155         -89.9195        Stephenson     
42.3198         -88.4477        McHenry        
42.3492         -90.0202        Jo Daviess     
42.3495         -83.0927        Wayne          
42.3542         -88.2294        McHenry        
42.3709         -75.2486        Otsego         
42.3756         -83.2889        Wayne          
42.3761         -89.6365        Stephenson     
42.3809         -83.0409        Wayne          
42.3903         -84.3428        Jackson        
42.3959         -83.1411        Wayne          
42.4136         -86.1298        Van Buren      
42.4227         -88.6048        McHenry        
42.4276         -78.3608        Cattaraugus    
42.4511         -79.4154        Chautauqua     
42.4558         -89.9454        Jo Daviess     
42.4586         -83.1363        Oakland        
42.4710         -83.1438        Oakland        
42.4715         -90.2580        Jo Daviess     
42.4723         -78.9981        Cattaraugus    
42.4723         -83.2940        Oakland        
42.4734         -83.2219        Oakland        
42.4788         -83.0248        Macomb         
42.4793         -87.8318        Lake           
42.4838         -89.8060        Stephenson     
42.4895         -83.1446        Oakland        
42.4992         -83.4773        Oakland        
42.5015         -85.2495        Barry          
42.5126         -76.9270        Yates          
42.5149         -82.9968        Macomb         
42.5365         -83.1503        Oakland        
42.5378         -83.4810        Oakland        
42.5424         -83.3793        Oakland        
42.5675         -83.1500        Oakland        
42.5702         -84.8352        Eaton          
42.5936         -85.6282        Allegan        
42.6165         -76.7268        Seneca         
42.6315         -75.1866        Otsego         
42.6336         -75.6172        Chenango       
42.6367         -82.5866        St. Clair      
42.6526         -73.7562        Albany         
42.6601         -83.3863        Oakland        
42.6769         -78.4410        Wyoming        
42.6809         -74.7653        Otsego         
42.7325         -84.5555        Ingham         
42.7684         -78.8871        Erie           
42.7708         -76.5862        Cayuga         
42.7732         -83.1711        Oakland        
42.8187         -85.5244        Kent           
42.8409         -82.8899        Macomb         
42.8894         -85.6219        Kent           
42.8927         -76.0265        Onondaga       
42.8946         -78.8245        Erie           
42.8974         -76.2806        Onondaga       
42.9134         -85.7053        Kent           
42.9142         -76.7024        Cayuga         
42.9147         -83.4845        Genesee        
42.9167         -78.8895        Erie           
42.9443         -82.6916        St. Clair      
42.9571         -74.4021        Montgomery     
42.9829         -78.0898        Genesee        
43.0314         -85.5503        Kent           
43.0408         -78.7812        Erie           
43.0538         -75.2716        Oneida         
43.0616         -74.3375        Fulton         
43.0662         -73.9215        Saratoga       
43.0712         -85.4809        Kent           
43.0855         -76.8725        Wayne          
43.1036         -84.5139        Clinton        
43.1099         -76.1870        Onondaga       
43.1401         -73.8398        Saratoga       
43.1685         -77.6845        Monroe         
43.1793         -85.2497        Montcalm       
43.1930         -82.8393        Sanilac        
43.1962         -86.2738        Muskegon       
43.1965         -75.7305        Oneida         
43.2435         -82.5301        Sanilac        
43.2484         -84.5433        Gratiot        
43.2645         -83.3796        Tuscola        
43.2828         -84.6088        Gratiot        
43.3024         -74.9977        Herkimer       
43.3281         -77.9953        Orleans        
43.3485         -84.0326        Saginaw        
43.3645         -85.3792        Montcalm       
43.3962         -84.4243        Gratiot        
43.4017         -84.8429        Gratiot        
43.4047         -83.9156        Saginaw        
43.4117         -75.8226        Oneida         
43.4167         -73.6975        Warren         
43.4269         -85.2924        Montcalm       
43.4278         -84.5952        Gratiot        
43.4508         -73.3031        Washington     
43.5657         -84.5873        Isabella       
43.5844         -83.5393        Tuscola        
43.5965         -86.0607        Oceana         
43.6148         -74.0249        Warren         
43.6262         -75.3553        Lewis          
43.6517         -76.1264        Oswego         
43.6754         -73.9325        Warren         
43.6896         -82.9640        Huron          
43.6978         -73.9860        Warren         
43.7068         -86.3142        Oceana         
43.7204         -84.3954        Midland        
43.7237         -74.0873        Warren         
43.7323         -75.3669        Lewis          
43.7714         -84.0513        Bay            
43.8377         -83.3525        Huron          
43.8622         -75.8719        Jefferson      
43.8801         -75.6839        Lewis          
43.9583         -84.9193        Clare          
44.0147         -75.7284        Jefferson      
44.0457         -85.4300        Osceola        
44.0499         -83.8430        Arenac         
44.0827         -73.5306        Essex          
44.1120         -86.2652        Mason          
44.2790         -84.2286        Ogemaw         
44.3604         -73.3963        Essex          
44.3692         -86.0467        Manistee       
44.3767         -85.0946        Missaukee      
44.6592         -74.9681        St. Lawrence   
44.6902         -75.4774        St. Lawrence   
44.7317         -85.8528        Benzie         
44.8020         -85.4347        Grand Traverse 
44.8162         -85.5751        Grand Traverse 
44.8382         -84.6824        Crawford       
44.8947         -83.6059        Alpena         
44.9924         -84.1480        Montmorency    
45.0666         -85.5974        Leelanau       
45.2654         -85.2297        Charlevoix     
45.3637         -84.4695        Cheboygan      
45.3748         -87.6206        Menominee      
45.6792         -87.5319        Menominee      
45.7777         -84.7298        Cheboygan      
45.8410         -87.4816        Menominee      
46.2321         -88.4508        Iron           
46.4088         -85.0136        Chippewa       
46.4151         -84.2854        Chippewa       
46.5308         -88.0914        Marquette      
47.0937         -88.6613        Houghton       
47.1158         -88.5580        Houghton       
